Year,Month,CPI_Region3
2012,Jan,82.2
2012,Feb,82.2
2012,Mar,82.2
2012,Apr,82.2
2012,May,82.2
2012,Jun,86.2
2012,Jul,86.2
2012,Aug,86.2
2012,Sep,86.2
2012,Oct,86.2
2012,Nov,86.2
2012,Dec,86.2
2012,Ave,84.6
2013,Jan,86.2
2013,Feb,86.2
2013,Mar,86.2
2013,Apr,86.2
2013,May,86.2
2013,Jun,90.4
2013,Jul,91.2
2013,Aug,91.2
2013,Sep,91.2
2013,Oct,91.2
2013,Nov,91.2
2013,Dec,91.2
2013,Ave,89.1
2014,Jan,91.2
2014,Feb,91.2
2014,Mar,91.2
2014,Apr,91.2
2014,May,91.2
2014,Jun,95.6
2014,Jul,95.6
2014,Aug,95.6
2014,Sep,95.6
2014,Oct,95.6
2014,Nov,95.6
2014,Dec,95.6
2014,Ave,93.8
2015,Jan,95.6
2015,Feb,95.6
2015,Mar,95.6
2015,Apr,95.6
2015,May,95.6
2015,Jun,96
2015,Jul,96.8
2015,Aug,96.8
2015,Sep,96.8
2015,Oct,96.8
2015,Nov,96.8
2015,Dec,96.8
2015,Ave,96.2
2016,Jan,96.8
2016,Feb,96.8
2016,Mar,96.8
2016,Apr,96.8
2016,May,96.8
2016,Jun,98.1
2016,Jul,98.2
2016,Aug,98.2
2016,Sep,98.2
2016,Oct,98.2
2016,Nov,103
2016,Dec,103
2016,Ave,98.4
2017,Jan,103
2017,Feb,103
2017,Mar,103
2017,Apr,103
2017,May,103
2017,Jun,105.1
2017,Jul,106.1
2017,Aug,106.1
2017,Sep,106.1
2017,Oct,106.1
2017,Nov,106.1
2017,Dec,106.1
2017,Ave,104.7
2018,Jan,98.5
2018,Feb,98.5
2018,Mar,98.5
2018,Apr,98.5
2018,May,98.5
2018,Jun,101.1
2018,Jul,101.1
2018,Aug,101.1
2018,Sep,101.1
2018,Oct,101.1
2018,Nov,101.1
2018,Dec,101.1
2019,Jan,101.1
2019,Feb,101.1
2019,Mar,101.1
2019,Apr,101.1
2019,May,101.1
2019,Jun,102.1
2019,Jul,102.8
2019,Aug,102.8
2019,Sep,102.8
2019,Oct,102.8
2019,Nov,102.8
2019,Dec,102.8
2020,Jan,103.6
2020,Feb,103.6
2020,Mar,103.6
2020,Apr,103.6
2020,May,103.6
2020,Jun,103.6
2020,Jul,103.6
2020,Aug,103.6
2020,Sep,103.2
2020,Oct,103.3
2020,Nov,103.3
2020,Dec,103.3
2021,Jan,103.3
2021,Feb,103.3
2021,Mar,103.3
2021,Apr,103.3
2021,May,103.3
2021,Jun,103.3
2021,Jul,103.3
2021,Aug,103.2
2021,Sep,103.4
2021,Oct,103.4
2021,Nov,103.4
2021,Dec,103.4
2022,Jan,103.4
2022,Feb,103.4
2022,Mar,103.4
2022,Apr,103.4
2022,May,103.4
2022,Jun,103.4
2022,Jul,103.4
2022,Aug,102.8
2022,Sep,103
2022,Oct,103
2022,Nov,103
2022,Dec,103
2023,Jan,103
2023,Feb,103
2023,Mar,103
2023,Apr,103
2023,May,103
2023,Jun,103
2023,Jul,103
2023,Aug,104.7
2023,Sep,107.3
2023,Oct,107.3
2023,Nov,107.3
2023,Dec,107.3
2024,Jan,107.3
2024,Feb,106.8
2024,Mar,106.8
2024,Apr,106.8
2024,May,106.8
2024,Jun,106.8
2024,Jul,107.4
2024,Aug,108.3
