Start_Year,Quarter,HFCE_Education,HFCE
2011,1,82928,1689009
2011,2,86092,1816501
2011,3,91887,1762602
2011,4,102591,2049375
2012,1,88741,1878447
2012,2,92613,1963276
2012,3,98618,1936819
2012,4,108111,2246467
2013,1,98186,2031658
2013,2,99890,2111436
2013,3,109476,2098485
2013,4,117794,2436145
2014,1,106809,2204907
2014,2,108724,2291325
2014,3,125121,2280899
2014,4,132863,2635906
2015,1,120522,2372797
2015,2,118210,2468974
2015,3,133675,2436184
2015,4,139137,2827778
2016,1,129516,2547013
2016,2,132224,2680857
2016,3,146810,2664733
2016,4,151824,3086483
2017,1,144263,2782053
2017,2,144109,2923649
2017,3,166270,2889159
2017,4,163246,3356002
2018,1,157093,3050982
2018,2,159229,3240042
2018,3,192427,3227592
2018,4,187784,3731469
2019,1,168251,3340847
2019,2,174038,3499709
2019,3,207064,3462628
2019,4,203208,3985148
2020,1,178600,3422615
2020,2,153991,3042128
2020,3,175029,3210325
2020,4,176161,3801008
2021,1,183227,3397750
2021,2,172830,3395240
2021,3,202279,3583127
2021,4,193235,4232430
2022,1,205496,3853345
2022,2,186716,3878011
2022,3,219409,4131183
2022,4,219841,4862506
2023,1,227676,4418198
2023,2,207379,4326017
2023,3,242002,4534502
2023,4,246553,5329613
2024,1,245341,4780006
2024,2,216127,4701289
